Date,Close,Predictions
2020-09-01,227.27,226.55414
2020-09-02,231.65,226.18958
2020-09-03,217.3,228.55182
2020-09-04,214.25,221.1763
2020-09-08,202.66,214.86134
2020-09-09,211.29,205.44888
2020-09-10,205.37,206.95337
2020-09-11,204.03,206.18289
2020-09-14,205.41,205.38623
2020-09-15,208.78,206.21262
2020-09-16,205.05,209.02808
2020-09-17,202.91,208.2598
2020-09-18,200.39,206.0221
2020-09-21,202.54,203.16605
2020-09-22,207.42,203.12398
2020-09-23,200.59,206.50972
2020-09-24,203.19,204.32089
2020-09-25,207.82,204.12177
2020-09-28,209.44,207.00735
2020-09-29,207.26,209.6088
2020-09-30,210.33,209.23982
2020-10-01,212.46,210.30876
